#t,src_x,src_y,src_z,src_qx,src_qy,src_qz,src_qw,det_x,det_y,det_z,det_qx,det_qy,det_qz,det_qw
1449598607792590000,0.0750584747,-0.1665535372,0.0603025834,0.7010695174,0.7010363953,0.0920450169,-0.0926132774,0.0749494764,0.3164249955,0.18971138,-0.3374507489,0.4867420408,-0.5125942151,0.6216561336
1449598611689340000,0.0750112745,-0.1749959467,0.1249891476,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.0750808422,0.3249718853,0.1250203412,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598615162510000,0.0749356168,-0.1665214941,0.1896465021,0.7069111459,0.6778014465,-0.2012789236,-0.0186715238,0.0749736434,0.3163959581,0.0603152265,0.6663552418,-0.5830442306,0.4005537845,-0.2357684937
1449598618912540000,0.1797995276,-0.142662355,0.1897010539,0.4199148085,0.7795378223,0.3187747971,0.3381936811,-0.0297420949,0.2925494806,0.0602464658,0.7794424094,-0.4196345099,0.3378804765,-0.3197079794
1449598622413940000,0.1834324833,-0.1502379684,0.1249288366,0.4738844962,0.7546729166,0.3841109676,0.2415802924,-0.033495527,0.3002675609,0.125032371,0.7545036759,-0.474234583,0.2414015285,-0.3841237631
1449598625639640000,0.1797691845,-0.1425057312,0.060267629,0.5385133688,0.8181328351,0.1998775936,-0.0266638952,-0.0298236106,0.2925536997,0.1896285192,-0.6384208977,0.4913513893,-0.2206195886,0.5498359453
1449598629238900000,0.2638152868,-0.075516772,0.0602645591,0.2921479853,0.5149180641,0.7825022981,0.1928706701,-0.113857045,0.2255972167,0.1897064543,0.4636545978,-0.0391726097,-0.347253491,0.8141897406
1449598632833200000,0.2704542738,-0.0809193269,0.1250178366,0.3143414111,0.8977548682,0.2913468231,0.1016990787,-0.1204796332,0.2307811773,0.125014424,0.8407638358,-0.2945341231,0.1500872233,-0.42876526
1449598636182450000,0.2637661008,-0.0756419028,0.1897117215,0.2355743104,0.853287713,0.3869218885,0.2582562205,-0.1137685349,0.2255346793,0.0602693337,0.9033215556,-0.2738176132,0.2180712887,-0.2479495816
1449598639266160000,0.3105006731,0.0212873373,0.189705878,-0.1454183746,-0.1395451199,0.9753500069,0.0898499856,-0.1604376303,0.1286998205,0.060233285,0.5672640342,-0.1698824384,-0.0139387003,0.8057029138
1449598642430710000,0.3186560987,0.0193286244,0.1249586477,0.0349919178,0.3068812108,0.9451100735,0.1066134939,-0.1687832536,0.1306589521,0.1250380635,0.4512771719,-0.0505302966,-0.0996934233,0.8853568911
1449598645465070000,0.3103551761,0.0212841388,0.0602475289,0.1698824911,0.5671310018,0.8058082475,0.0132451603,-0.160460878,0.1287683956,0.1897589655,0.4600071013,0.0654408499,-0.1571469774,0.8714446566
1449598648282320000,0.310498498,0.1287018518,0.0602578554,0.1103836001,0.1685608216,0.9708572077,-0.1297651438,-0.1604354031,0.0212633301,0.1896246658,0.6859659052,0.1700110257,-0.0135178502,0.7073643303
1449598651386930000,0.3187424299,0.1305375619,0.1249738289,-0.0178081557,0.1553750476,0.981457936,-0.1108232105,-0.1687380921,0.0194496473,0.1250087774,0.5838800454,0.0660723407,0.0908735515,0.804027696
1449598654242010000,0.3103861669,0.1286718652,0.1897259069,-0.1577109218,0.2908103142,0.941447222,-0.0650673075,-0.1604582913,0.0213343256,0.0602487928,0.9322648401,0.1461328622,0.0890090398,-0.3187551494
1449598657200780000,0.2637741882,0.2255334506,0.189623779,-0.2583779273,0.3862328844,0.8533598538,-0.2363090467,-0.1137280524,-0.0755161,0.0603424161,0.935701978,0.3278622786,0.1229593602,-0.0430015159
1449598660747340000,0.270479067,0.2308543626,0.1249149031,-0.1022872685,0.2920013557,0.8976889729,-0.3137308255,-0.1205185053,-0.0808478725,0.1249973699,0.8408893842,0.2943267769,0.1495522438,0.428848363
1449598664193670000,0.2638528879,0.2254854516,0.0602701653,0.0155528325,0.3302603179,0.8767904592,-0.3491772077,-0.1138756543,-0.0755902311,0.1896925378,0.6315330309,0.3183481875,0.1444971937,0.6920556505
1449598667813590000,0.1797927825,0.2925579411,0.0602747648,0.0578585322,-0.3254954979,-0.777064476,0.5356079455,-0.0298434554,-0.1425574544,0.1896384043,0.5442700439,0.4509712223,0.2950485686,0.6429163384
1449598671022990000,0.1834768602,0.3003379158,0.1250125098,-0.2415379814,0.3845386607,0.7541213756,-0.4744369008,-0.033448219,-0.1502997673,0.125016298,0.754461297,0.473953564,0.2413435734,0.3845899766
1449598674981420000,0.1797438308,0.2925051702,0.1897736232,-0.2685869736,0.1930642139,0.8199536415,-0.4671865503,-0.0297920024,-0.1426003185,0.0602609343,0.7201539374,0.3620980459,0.3988135441,0.4372768787
1449598611689340000,0,-0.075,0,0,0,0,0,0,0.3249718853,0,0,0,0,0
1449598611689340000,0,-0.075,0,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0,0.3249718853,0,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0,-0.075,0.05,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0,0.3249718853,0.05,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0,-0.075,0.1,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0,0.3249718853,0.1,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0,-0.075,0.15,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0,0.3249718853,0.15,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0,-0.075,0.2,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0,0.3249718853,0.2,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0,-0.075,0.25,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0,0.3249718853,0.25,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.03,-0.075,0,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.03,0.3249718853,0,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.03,-0.075,0.05,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.03,0.3249718853,0.05,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.03,-0.075,0.1,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.03,0.3249718853,0.1,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.03,-0.075,0.15,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.03,0.3249718853,0.15,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.03,-0.075,0.2,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.03,0.3249718853,0.2,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.03,-0.075,0.25,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.03,0.3249718853,0.25,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.06,-0.075,0,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.06,0.3249718853,0,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.06,-0.075,0.05,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.06,0.3249718853,0.05,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.06,-0.075,0.1,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.06,0.3249718853,0.1,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.06,-0.075,0.15,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.06,0.3249718853,0.15,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.06,-0.075,0.2,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.06,0.3249718853,0.2,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.06,-0.075,0.25,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.06,0.3249718853,0.25,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.09,-0.075,0,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.09,0.3249718853,0,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.09,-0.075,0.05,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.09,0.3249718853,0.05,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.09,-0.075,0.1,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.09,0.3249718853,0.1,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.09,-0.075,0.15,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.09,0.3249718853,0.15,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.09,-0.075,0.2,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.09,0.3249718853,0.2,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.09,-0.075,0.25,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.09,0.3249718853,0.25,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.12,-0.075,0,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.12,0.3249718853,0,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.12,-0.075,0.05,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.12,0.3249718853,0.05,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.12,-0.075,0.1,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.12,0.3249718853,0.1,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.12,-0.075,0.15,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.12,0.3249718853,0.15,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.12,-0.075,0.2,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.12,0.3249718853,0.2,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.12,-0.075,0.25,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.12,0.3249718853,0.25,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.15,-0.075,0,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.15,0.3249718853,0,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.15,-0.075,0.05,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.15,0.3249718853,0.05,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.15,-0.075,0.1,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.15,0.3249718853,0.1,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.15,-0.075,0.15,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.15,0.3249718853,0.15,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.15,-0.075,0.2,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.15,0.3249718853,0.2,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.15,-0.075,0.25,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.15,0.3249718853,0.25,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0,-0.15,0,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0,0.3249718853,0,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0,-0.15,0.05,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0,0.3249718853,0.05,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0,-0.15,0.1,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0,0.3249718853,0.1,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0,-0.15,0.15,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0,0.3249718853,0.15,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0,-0.15,0.2,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0,0.3249718853,0.2,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0,-0.15,0.25,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0,0.3249718853,0.25,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.03,-0.15,0,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.03,0.3249718853,0,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.03,-0.15,0.05,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.03,0.3249718853,0.05,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.03,-0.15,0.1,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.03,0.3249718853,0.1,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.03,-0.15,0.15,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.03,0.3249718853,0.15,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.03,-0.15,0.2,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.03,0.3249718853,0.2,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.03,-0.15,0.25,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.03,0.3249718853,0.25,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.06,-0.15,0,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.06,0.3249718853,0,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.06,-0.15,0.05,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.06,0.3249718853,0.05,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.06,-0.15,0.1,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.06,0.3249718853,0.1,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.06,-0.15,0.15,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.06,0.3249718853,0.15,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.06,-0.15,0.2,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.06,0.3249718853,0.2,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.06,-0.15,0.25,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.06,0.3249718853,0.25,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.09,-0.15,0,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.09,0.3249718853,0,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.09,-0.15,0.05,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.09,0.3249718853,0.05,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.09,-0.15,0.1,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.09,0.3249718853,0.1,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.09,-0.15,0.15,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.09,0.3249718853,0.15,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.09,-0.15,0.2,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.09,0.3249718853,0.2,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.09,-0.15,0.25,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.09,0.3249718853,0.25,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.12,-0.15,0,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.12,0.3249718853,0,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.12,-0.15,0.05,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.12,0.3249718853,0.05,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.12,-0.15,0.1,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.12,0.3249718853,0.1,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.12,-0.15,0.15,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.12,0.3249718853,0.15,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.12,-0.15,0.2,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.12,0.3249718853,0.2,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.12,-0.15,0.25,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.12,0.3249718853,0.25,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.15,-0.15,0,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.15,0.3249718853,0,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.15,-0.15,0.05,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.15,0.3249718853,0.05,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.15,-0.15,0.1,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.15,0.3249718853,0.1,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.15,-0.15,0.15,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.15,0.3249718853,0.15,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.15,-0.15,0.2,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.15,0.3249718853,0.2,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
1449598611689340000,0.15,-0.15,0.25,0.6723089478,0.6728465322,-0.2182222313,-0.2183054753,0.15,0.3249718853,0.25,-0.5719454379,0.5724565612,-0.4153110988,0.4155581702
